Time;KBIn;PktIn;KBOut;PktOut
18:05:42;3;19;3;17
18:05:43;2;10;2;10
18:05:44;1;8;1;8
18:05:45;3;17;3;15
18:05:46;1;3;2;6
18:05:47;3;18;2;17
18:05:48;3;18;3;16
18:05:49;1;3;2;6
18:05:50;2;15;1;11
18:05:51;3;17;3;15
18:05:52;1;3;2;5
18:05:53;2;15;1;11
18:05:54;3;17;3;15
18:05:55;1;3;2;5
18:05:56;2;15;1;11
18:05:57;3;18;3;17
18:05:58;1;2;1;5
18:05:59;3;17;2;15
18:06:00;3;17;3;18
18:06:01;0;1;0;1
18:06:02;3;17;3;16
18:06:03;1;4;2;7
18:06:04;2;15;1;12
18:06:05;3;18;3;17
18:06:06;1;4;2;5
18:06:07;2;16;1;12
18:06:08;3;17;3;15
18:06:09;1;5;2;8
18:06:10;2;15;1;11
18:06:11;3;18;3;15
18:06:12;2;6;2;7
18:06:13;2;17;2;14
18:06:14;3;17;3;16
18:06:15;1;4;2;5
18:06:16;2;15;1;11
18:06:17;3;18;3;15
18:06:18;0;1;0;1
18:06:19;3;17;3;16
18:06:20;2;9;3;12
18:06:21;1;9;1;7
18:06:22;3;17;3;15
18:06:23;1;4;2;7
18:06:24;2;15;1;11
18:06:25;3;17;3;15
18:06:26;1;3;2;5
18:06:27;2;15;1;11
18:06:28;3;17;3;15
18:06:29;1;3;2;5
18:06:30;2;15;1;11
18:06:31;3;17;3;15
18:06:32;1;3;2;5
18:06:33;2;17;1;14
18:06:34;3;17;3;17
18:06:35;1;2;2;5
18:06:36;2;16;1;12
18:06:37;3;16;3;16
18:06:38;1;5;1;5
18:06:39;3;17;3;15
18:06:40;1;3;2;5
18:06:41;2;15;1;11
18:06:42;3;17;3;15
18:06:43;1;3;2;6
18:06:44;2;15;1;12
18:06:45;3;17;3;16
18:06:46;1;3;2;5
18:06:47;2;15;1;11
18:06:48;3;18;3;16
18:06:49;1;3;2;5
18:06:50;2;15;1;12
18:06:51;3;17;3;16
18:06:52;1;3;2;6
18:06:53;2;15;1;11
18:06:54;3;18;3;15
18:06:55;1;3;2;4
18:06:56;2;15;1;12
18:06:57;2;13;3;13
18:06:58;1;6;0;4
18:06:59;3;17;3;15
18:07:00;1;3;3;7
18:07:01;2;15;1;11
18:07:02;3;18;3;16
18:07:03;2;6;3;10
18:07:04;2;15;1;13
18:07:05;3;17;3;15
18:07:06;1;3;2;5
18:07:07;2;15;1;12
18:07:08;3;17;3;16
18:07:09;1;3;2;6
18:07:10;2;15;1;12
18:07:11;3;17;3;15
18:07:12;1;3;2;5
18:07:13;2;16;1;12
18:07:14;3;18;3;15
18:07:15;1;2;2;4
18:07:16;2;16;1;12
18:07:17;2;13;3;14
18:07:18;1;5;0;4
18:07:19;3;17;3;16
