ID,KBIn,PktIn,KBOut,PktOut,Data_original,Unix_time  
314,0,1,1,0,2022-04-26-3:26:53,1650968813000053
315,0,1,1,0,2022-04-26-3:26:54,1650968814000054
316,0,1,1,0,2022-04-26-3:26:55,1650968815000055
317,0,2,2,0,2022-04-26-3:26:56,1650968816000056
318,0,2,3,1,2022-04-26-3:26:57,1650968817000057
319,0,2,1,0,2022-04-26-3:26:58,1650968818000058
320,0,5,1,0,2022-04-26-3:26:59,1650968819000059
321,0,3,1,0,2022-04-26-3:27:0,16509688200
322,2,10,7,1,2022-04-26-3:27:1,1650968821000001
323,0,4,1,0,2022-04-26-3:27:2,1650968822000002
324,0,4,1,0,2022-04-26-3:27:3,1650968823000003
325,0,1,1,0,2022-04-26-3:27:4,1650968824000004
326,0,3,1,0,2022-04-26-3:27:5,1650968825000005
327,0,1,1,0,2022-04-26-3:27:6,1650968826000006
328,0,1,1,0,2022-04-26-3:27:7,1650968827000007
329,0,2,2,0,2022-04-26-3:27:8,1650968828000008
330,0,1,1,0,2022-04-26-3:27:9,1650968829000009
331,0,1,1,0,2022-04-26-3:27:10,165096883000001
332,0,3,2,0,2022-04-26-3:27:11,1650968831000011
333,0,1,1,0,2022-04-26-3:27:12,1650968832000012
334,0,1,1,0,2022-04-26-3:27:13,1650968833000013
335,0,2,1,0,2022-04-26-3:27:14,1650968834000014
336,0,1,1,0,2022-04-26-3:27:15,1650968835000015
337,0,4,1,0,2022-04-26-3:27:16,1650968836000016
338,0,4,1,0,2022-04-26-3:27:17,1650968837000017
339,0,5,1,0,2022-04-26-3:27:18,1650968838000018
340,0,6,1,0,2022-04-26-3:27:19,1650968839000019
341,0,6,1,0,2022-04-26-3:27:20,165096884000002
342,0,5,2,0,2022-04-26-3:27:21,1650968841000021
343,0,1,1,0,2022-04-26-3:27:22,1650968842000022
344,0,4,1,0,2022-04-26-3:27:23,1650968843000023
345,0,4,1,0,2022-04-26-3:27:24,1650968844000024
346,0,1,1,0,2022-04-26-3:27:25,1650968845000025
347,2,11,6,1,2022-04-26-3:27:26,1650968846000026
348,0,2,1,0,2022-04-26-3:27:27,1650968847000027
349,0,1,1,0,2022-04-26-3:27:28,1650968848000028
350,0,2,1,0,2022-04-26-3:27:29,1650968849000029
351,0,1,1,0,2022-04-26-3:27:30,165096885000003
352,0,1,1,0,2022-04-26-3:27:31,1650968851000031
353,0,2,1,0,2022-04-26-3:27:32,1650968852000032
354,0,1,1,0,2022-04-26-3:27:33,1650968853000033
355,0,1,1,0,2022-04-26-3:27:34,1650968854000034
356,0,2,1,0,2022-04-26-3:27:35,1650968855000035
357,0,3,3,0,2022-04-26-3:27:36,1650968856000036
358,0,3,1,0,2022-04-26-3:27:37,1650968857000037
359,1,7,2,0,2022-04-26-3:27:38,1650968858000038
360,0,5,1,0,2022-04-26-3:27:39,1650968859000039
361,0,4,1,0,2022-04-26-3:27:40,165096886000004
362,0,6,1,0,2022-04-26-3:27:41,1650968861000041
363,0,4,1,0,2022-04-26-3:27:42,1650968862000042
364,0,2,1,0,2022-04-26-3:27:43,1650968863000043
365,0,5,1,0,2022-04-26-3:27:44,1650968864000044
366,1,12,6,1,2022-04-26-3:27:45,1650968865000045
367,1,8,7,2,2022-04-26-3:27:46,1650968866000046
368,1,9,6,1,2022-04-26-3:27:47,1650968867000047
369,1,3,5,2,2022-04-26-3:27:48,1650968868000048
370,0,1,1,0,2022-04-26-3:27:49,1650968869000049
371,0,2,1,0,2022-04-26-3:27:50,165096887000005
372,1,4,5,1,2022-04-26-3:27:51,1650968871000051
373,0,1,1,0,2022-04-26-3:27:52,1650968872000052
374,0,1,1,0,2022-04-26-3:27:53,1650968873000053
375,0,1,1,0,2022-04-26-3:27:54,1650968874000054
376,0,1,1,0,2022-04-26-3:27:55,1650968875000055
377,0,2,2,0,2022-04-26-3:27:56,1650968876000056
378,0,1,1,0,2022-04-26-3:27:57,1650968877000057
379,0,3,1,0,2022-04-26-3:27:58,1650968878000058
380,0,6,1,0,2022-04-26-3:27:59,1650968879000059
381,0,6,1,0,2022-04-26-3:28:0,16509688800
382,0,5,3,0,2022-04-26-3:28:1,1650968881000001
383,0,4,1,0,2022-04-26-3:28:2,1650968882000002
384,0,4,1,0,2022-04-26-3:28:3,1650968883000003
385,0,4,1,0,2022-04-26-3:28:4,1650968884000004
386,0,6,1,0,2022-04-26-3:28:5,1650968885000005
